org,email
Alameda,flast@alamedaca.gov
Albany,flast@albanyca.org
American Canyon,flast@cityofamericancanyon.org
Antioch,flast@ci.antioch.ca.us
Atherton,flast@ci.atherton.ca.us
Belmont,flast@belmont.gov
Belvedere,flast@cityofbelvedere.org
Benicia,flast@ci.benicia.ca.us
Berkeley,flast@cityofberkeley.info
Brentwood,flast@brentwoodca.gov
Brisbane,flast@brisbaneca.org
Burlingame,flast@burlingame.org
Calistoga,flast@ci.calistoga.ca.us
Campbell,firstl@cityofcampbell.com
Capitola,flast@ci.capitola.ca.us
Clayton,flast@ci.clayton.ca.us
Colma,first.last@colma.ca.gov
Concord,first.last@cityofconcord.org
Corte Madera,flast@tcmmail.org
Cotati,flast@cotaticity.org
Cupertino,firstl@cupertino.org
Daly City,flast@dalycity.org
Danville,flast@danville.ca.gov
Davis,flast@cityofdavis.org
Dixon,flast@ci.dixon.ca.us
Dublin,first.last@dublin.ca.gov
East Palo Alto,flast@cityofepa.org
El Cerrito,flast@ci.el-cerrito.ca.us
Elk Grove,flast@elkgrovecity.org
Emeryville,flast@ci.emeryville.ca.us
Fairfax,flast@townoffairfax.org
Fairfield,flast@fairfield.ca.gov
Foster City,flast@fostercity.org
Fremont,flast@fremont.gov
Galt,flast@ci.galt.ca.us
Gilroy,first.last@cityofgilroy.org
Half Moon Bay,flast@hmbcity.com
Hayward,first.last@hayward-ca.gov
Healdsburg,flast@ci.healdsburg.ca.us
Hercules,flast@ci.hercules.ca.us
Hillsborough,flast@hillsborough.net
Isleton,firstlast@@cityofisleton.com
Lafayette,flast@lovelafayette.org
Larkspur,flast@cityoflarkspur.org
Lathrop,flast@ci.lathrop.ca.us
Livermore,fmlast@cityoflivermore.net
Lodi,flast@lodi.gov
Los Altos,flast@losaltosca.gov
Los Altos Hills,flast@losaltoshills.ca.gov
Los Gatos,flast@losgatosca.gov
Manteca,flast@mantecagov.com
Martinez,flast@cityofmartinez.org
Menlo Park,fmlast@menlopark.org
Millbrae,flast@ci.millbrae.ca.us
Mill Valley,flast@cityofmillvalley.org
Milpitas,flast@ci.milpitas.ca.gov
Monte Sereno,first@cityofmontesereno.org
Moraga,flast@moraga.ca.us
Morgan Hill,first.last@morganhill.ca.gov
Mountain View,first.last@mountainview.gov
Napa,flast@cityofnapa.org
Newark,first.last@newark.org
Novato,flast@novato.org
Oakland,flast@oaklandnet.com
Oakley,last@ci.oakley.ca.us
Orinda,flast@cityoforinda.org
Pacifica,flast@ci.pacifica.ca.us
Palo Alto,first.last@cityofpaloalto.org
Patterson,flast@ci.patterson.ca.us
Petaluma,flast@ci.petaluma.ca.us
Piedmont,flast@ci.piedmont.ca.us
Pinole,flast@ci.pinole.ca.us
Pittsburg,flast@ci.pittsburg.ca.us
Pleasant Hill,flast@ci.pleasant-hill.ca.us
Pleasanton,flast@cityofpleasantonca.gov
Portola Valley,flast@portolavalley.net
Redwood City,flast@redwoodcity.org
Richmond,first_last@ci.richmond.ca.us
Rio Vista,flast@ci.rio-vista.ca.us
Ripon,flast@cityofripon.org
Rohnert Park,flast@rpcity.org
Ross,flast@@townofross.org
Sacramento,flast@cityofsacramento.org
San Anselmo,flast@townofsananselmo.org
San Bruno,flast@sanbruno.ca.gov
San Carlos,flast@cityofsancarlos.org
San Joaquin,firstl@cityofsanjoaquin.org
San Jose,first.last@sanjoseca.gov
San Leandro,flast@sanleandro.org
San Mateo,flast@cityofsanmateo.org
San Pablo,firstl@sanpabloca.gov
San Rafael,first.last@cityofsanrafael.org
San Ramon,flast@sanramon.ca.gov
Santa Clara,flast@santaclaraca.gov
Santa Cruz,flast@cityofsantacruz.com
Santa Rosa,flast@srcity.org
Saratoga,flast@saratoga.ca.us
Sausalito,flast@ci.sausalito.ca.us
Scotts Valley,flast@scottsvalley.org
Sebastopol,flast@cityofsebastopol.org
Sonoma,flast@sonomacity.org
South San Francisco,first.last@sff.net
St. Helena,flast@cityofsthelena.org
Stockton,first.last@stocktongov.com
Suisun City,flast@suisun.com
Sunnyvale,flast@ci.sunnyvale.ca.us
Tiburon,flast@townoftiburon.org
Tracy,first.last@ci.tracy.ca.us
Union City,flast@unioncity.org
Vacaville,flast@cityofvacaville.com
Vallejo,flast@ci.vallejo.ca.us
Walnut Creek,last@ci.walnut-creek.ca.us
Watsonville,first.last@cityofwatsonville.org
West Sacramento,firstl@cityofwestsacramento.org
Windsor,flast@townofwindsor.com
Winters,first.last@cityofwinters.org
Woodland,first.last@cityofwoodland.org
Woodside,flast@woodsidetown.org
Yountville,flast@yville.com
Alameda County,first.last@acgov.org
Contra Costa County,f(first 4 letters of last)@ac.cccounty.us
Marin County,flast@marincounty.org
Napa County,first.last@countyofnapa.org
San Francisco,first.last@sfgov.org
San Joaquin County,flast@sjgov.org
San Mateo County,flast@smcgov.org
Santa Clara County,Each department is different
Santa Cruz County,first.last@santacruzcounty.us
Solano County,fmlast@solanocounty.com
Sonoma County,first.last@sonoma-county.org
Yolo County,first.last@yolocounty.org
University of California,each university is different
Cabrillo College,filast@cabrillo.edu
Chabot-Las Positas CCD,flast@laspositascollege.edu
City College of San Francisco,flast@ccsf.edu
College Of Marin,flast@marin.edu
Contra Costa Community College District,flast@contracosta.edu
Foothill Deanza Community College District,lastfirst@deanza.edu
Gavilan College,flast@gavilan.edu
Napa Valley College,flast@napavalley.edu
Ohlone College,flast@ohlone.edu
Peralta Community College District,flast@peralta.edu
San Joaquin Delta College,first.last@deltacollege.edu
San Jose Evergreen Community College District,first.last@evc.edu
San Mateo Community College District,lastfirst@smccd.edu
Santa Rosa Junior College,flast@santarosa.edu
Solano Community College,first.last@solano.edu
West Valley Mission CCD,first.last@westvalley.edu
