Agency,Expenditure
Adelanto,30886709
Agoura Hills,28060628
Alameda,269368844
Albany,30177242
Alhambra,129347209
Aliso Viejo,25881743
Alturas,5382306
Amador,299909
American Canyon,42031783
Anaheim,1382753742
Anderson,17844645
Angels Camp,8337488
Antioch,123958987
Apple Valley,76333866
Arcadia,95075601
Arcata,29115182
Arroyo Grande,29463491
Artesia,14818299
Arvin,12604098
Atascadero,34604657
Atherton,20163979
Atwater,37084699
Auburn,21193828
Avalon,32757503
Avenal,16167320
Azusa,127893185
Bakersfield,517407092
Baldwin Park,62049928
Banning,77347304
Barstow,40340213
Beaumont,74885776
Bell,28881461
Bell Gardens,41673891
Bellflower,55547110
Belmont,68993649
Belvedere,8199528
Benicia,65250243
Berkeley,438103963
Beverly Hills,493488050
Big Bear Lake,43569553
Biggs,5724595
Bishop,9912966
Blue Lake,2357521
Blythe,19484784
Bradbury,2113169
Brawley,36406848
Brea,104507849
Brentwood,161610566
Brisbane,35527844
Buellton,10350654
Buena Park,96560176
Burbank,504781705
Burlingame,118359486
Calabasas,40845805
Calexico,55331428
California City,23842537
Calimesa,8217042
Calipatria,3694240
Calistoga,21684458
Camarillo,99896207
Campbell,62167367
Canyon Lake,5637148
Capitola,18423788
Carlsbad,295865208
Carmel,24983577
Carpinteria,15245125
Carson,99004940
Cathedral City,84539077
Ceres,61736307
Cerritos,92097771
Chico,104006327
Chino,255908337
Chino Hills,123473666
Chowchilla,26384764
Chula Vista,306115104
Citrus Heights,48761228
Claremont,54141817
Clayton,8421113
Clearlake,13115458
Cloverdale,13178622
Clovis,209792689
Coachella,50445326
Coalinga,18448331
Colfax,4583395
Colma,23995279
Colton,125255958
Colusa,10930170
Commerce,80473392
Compton,148200577
Concord,194910584
Corcoran,22270888
Corning,11129016
Corona,308164953
Coronado,71320046
Corte Madera,26999579
Costa Mesa,189003781
Cotati,14187111
Covina,74774247
Crescent City,17669257
Cudahy,10990365
Culver City,214562562
Cupertino,93732930
Cypress,57946729
Daly City,154884501
Dana Point,43217728
Danville,43291895
Davis,180792587
Del Mar,32161024
Del Rey Oaks,4437129
Delano,73316402
Desert Hot Springs,27815556
Diamond Bar,34211337
Dinuba,45284944
Dixon,34964501
Dorris,1385723
Dos Palos,4212849
Downey,173675479
Duarte,21908134
Dublin,115114652
Dunsmuir,3888688
East Palo Alto,35703482
Eastvale,42286324
El Cajon,122186196
El Centro,252123062
El Cerrito,52404423
El Monte,115121710
Paso Robles,92865669
El Segundo,116687764
Elk Grove,210825072
Emeryville,72943846
Encinitas,112219455
Escalon,9212011
Escondido,255574624
Etna,1518350
Eureka,64558733
Exeter,11961657
Fairfax,12521885
Fairfield,233328070
Farmersville,8894104
Ferndale,2140253
Fillmore,18510911
Firebaugh,9275042
Folsom,173802919
Fontana,232561460
Fort Bragg,18486696
Fort Jones,1558076
Fortuna,16992223
Foster City,83201283
Fountain Valley,76924125
Fowler,5970199
Fremont,340749421
Fresno,874256879
Fullerton,215451666
Galt,37976684
Garden Grove,283218470
Gardena,118869994
Gilroy,121019753
Glendale,734456821
Glendora,60699454
Goleta,36922098
Gonzales,12665102
Grand Terrace,8057896
Grass Valley,28434907
Greenfield,18782833
Gridley,14953868
Grover Beach,23411576
Guadalupe,9931374
Gustine,6836695
Half Moon Bay,25207362
Hanford,71601481
Hawaiian Gardens,23401196
Hawthorne,116139150
Hayward,342223947
Healdsburg,54036786
Hemet,87942099
Hercules,29597951
Hermosa Beach,48941048
Hesperia,69496713
Hidden Hills,3230743
Highland,39125390
Hillsborough,48415583
Hollister,67405468
Holtville,7813398
Hughson,8359324
Huntington Beach,323441057
Huntington Park,59407955
Huron,7828150
Imperial,21312637
Imperial Beach,35975045
Indian Wells,48688889
Indio,149459995
Industry,345311982
Inglewood,273754948
Ione,5165005
Irvine,370794817
Irwindale,33014992
Isleton,2294696
Jackson,9790730
Jurupa Valley,47536485
Kerman,13987585
King City,13745067
Kingsburg,17089505
La Canada Flintridge,30537502
La Habra,89562217
La Habra Heights,6197832
La Mesa,82974000
La Mirada,47897858
La Palma,17127741
La Puente,18655080
La Quinta,74313489
La Verne,61111150
Lafayette,22398648
Laguna Beach,106330509
Laguna Hills,23461906
Laguna Niguel,62158913
Laguna Woods,7763978
